gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum,,,
TXNL4B,32,5,39,9,9,94,,,
UBXN1,36,13,14,21,8,94,,,
VDAC3,34,18,6,9,20,94,,,
ZNF160,19,34,32,6,1,94,,,
ZNF331,37,24,19,5,7,94,,,
ACIN1,35,23,13,11,7,93,,,
ANKRD36,24,4,24,6,35,93,,,
BCAM,24,43,22,5,4,93,,,
BCL9L,31,31,15,7,10,93,,,
CNOT4,51,5,23,3,6,93,,,
DPY30,10,20,11,21,30,93,,,
EIF4G1,42,20,6,6,12,93,,,
ETF1,39,12,34,7,3,93,,,
GPR158,8,21,34,4,22,93,,,
GYPC,16,14,16,13,30,93,,,
HACE1,39,13,26,8,5,93,,,
HPCAL1,33,14,15,6,21,93,,,
KANK2,38,8,25,5,14,93,,,
LHFPL2,29,12,8,20,15,93,,,
LIN9,28,25,20,4,16,93,,,
MAPK1,38,27,13,7,6,93,,,
METTL6,17,27,32,13,5,93,,,
MRPS2,26,7,16,19,19,93,,,
NAP1L5,41,15,18,7,5,93,,,
NFYB,36,10,5,18,14,93,,,
P3H3,8,4,33,20,29,93,,,
PECAM1,22,19,40,4,7,93,,,
PODXL2,45,9,13,9,13,93,,,
POMGNT1,34,25,22,4,1,93,,,
PRMT1,18,12,25,30,9,93,,,
PSMG3,22,17,12,32,9,93,,,
PSRC1,23,16,18,19,7,93,,,
PTK2B,18,19,17,19,18,93,,,
PTMS,17,17,35,10,7,93,,,
RAET1L,46,11,17,1,12,93,,,
RGS17,21,17,44,6,4,93,,,
RPS16,30,6,7,28,22,93,,,
RTF1,29,17,39,3,5,93,,,
SAE1,26,6,19,16,23,93,,,
SLC35C1,4,6,46,6,21,93,,,
SLC6A11,41,17,18,7,8,93,,,
SNRPA1,26,11,21,27,5,93,,,
SNRPD2,28,6,6,35,14,93,,,
STXBP4,7,32,41,3,9,93,,,
SUGCT,22,45,18,6,2,93,,,
TP53I11,35,9,3,24,14,93,,,
TTL,26,15,38,5,7,93,,,
UBE2E3,40,12,29,2,7,93,,,
UHRF1,15,7,38,18,17,93,,,
VSIR,28,23,8,12,10,93,,,
ZBTB38,25,22,14,20,8,93,,,
ZC3H10,23,10,12,36,12,93,,,
AATK,34,11,15,10,6,92,,,
ATP5B,29,5,7,16,37,92,,,
CBWD3,27,8,15,9,25,92,,,
CCDC86,39,7,9,20,14,92,,,
CEP72,12,13,31,7,21,92,,,
CHMP5,33,8,17,10,15,92,,,
CHMP7,29,18,10,25,8,92,,,
COL24A1,31,5,14,24,12,92,,,
COL4A2,35,20,17,9,6,92,,,
CTAGE4,30,28,16,7,7,92,,,
CTRC,22,11,16,20,9,92,,,
CYCS,39,20,9,7,19,92,,,
DLX3,20,21,12,30,3,92,,,
DNAJB6,16,16,9,30,10,92,,,
DNMT3B,10,38,38,0,3,92,,,
ELL3,42,19,13,7,7,92,,,
ENO1,19,19,38,9,8,92,,,
EXOC4,41,10,8,15,13,92,,,
FRAT1,21,12,16,10,31,92,,,
FUT4,20,12,43,4,5,92,,,
GPR132,20,26,20,5,9,92,,,
IL1RN,19,8,12,19,35,92,,,
KCNV2,21,22,12,5,33,92,,,
KIAA1033,14,8,40,16,11,92,,,
LNPK,25,31,22,4,7,92,,,
LOC102724624,23,9,40,14,6,92,,,
LOC105371844,36,12,18,18,3,92,,,
LOC107984097,35,16,20,4,9,92,,,
LOC112268080,37,18,14,17,5,92,,,
MAP3K10,35,26,7,9,3,92,,,
MRPL2,27,6,9,8,34,92,,,
MRPL48,12,14,35,11,14,92,,,
NEUROG2,24,24,36,2,6,92,,,
NXT2,37,6,6,11,28,92,,,
PIGV,39,5,21,5,15,92,,,
PSMD1,18,18,35,11,8,92,,,
RPL27,12,3,8,14,45,92,,,
SARS2,14,7,12,5,52,92,,,
SART1,48,13,10,12,4,92,,,
SDHA,15,8,8,20,34,92,,,
SLC26A3,20,16,22,3,21,92,,,
SNX27,18,4,15,28,22,92,,,
SRSF3,33,15,21,8,8,92,,,
STK39,22,16,40,5,6,92,,,
STT3A,20,6,49,6,5,92,,,
SUPT6H,10,11,33,24,17,92,,,
TAP1,34,6,25,5,16,92,,,
TM2D2,25,10,24,19,12,92,,,
TOX4,37,11,20,6,16,92,,,
TRIM69,35,44,7,2,2,92,,,
WDR83,22,14,10,18,26,92,,,
ABI2,17,12,43,5,12,91,,,
ALKBH2,32,9,39,4,5,91,,,
CARNMT1,36,5,9,10,30,91,,,
CDK5RAP2,21,27,27,4,6,91,,,
CFAP58,20,38,20,5,8,91,,,
CHTF18,21,11,17,26,6,91,,,
CLK3,32,19,20,10,6,91,,,
EFHD2,28,10,38,4,6,91,,,
EFNB1,25,6,28,5,24,91,,,
FEM1C,33,18,21,11,5,91,,,
FSD1,21,11,38,10,9,91,,,
GATS,32,15,24,13,7,91,,,
GPBAR1,48,10,9,13,3,91,,,
HAPLN1,30,9,11,6,40,91,,,
ITPRIPL1,33,9,27,4,12,91,,,
KHK,17,8,34,10,13,91,,,
LOC101927506,23,15,39,3,11,91,,,
LOC102724904,13,6,19,31,21,91,,,
LOC389831,14,12,43,7,11,91,,,
LOC440292,23,12,35,9,6,91,,,
MARS2,15,2,18,5,53,91,,,
MBTD1,32,12,17,16,10,91,,,
MED16,42,6,4,13,21,91,,,
MED21,33,20,15,9,8,91,,,
MED8,27,26,5,20,12,91,,,
NCKAP1L,21,21,19,22,6,91,,,
NEDD9,28,16,12,13,21,91,,,
PAK7,17,10,13,13,21,91,,,
PDCD10,23,10,17,15,24,91,,,
PFKL,14,33,24,9,7,91,,,
PLSCR3,20,13,40,9,10,91,,,
PRCC,25,26,14,6,10,91,,,
PXMP4,18,8,42,12,10,91,,,
RPL8,54,19,12,4,1,91,,,
SGCA,37,14,16,11,7,91,,,
SLC30A2,30,9,14,15,22,91,,,
STAB2,20,31,34,1,7,91,,,
TBX18,36,13,19,5,12,91,,,
TNFAIP8L2,26,9,16,25,14,91,,,
TOMM7,12,14,47,8,6,91,,,
TOP2B,31,7,21,18,12,91,,,
TRIQK,23,28,29,8,4,91,,,
TSG101,10,10,50,17,4,91,,,
UBE2I,35,9,16,19,8,91,,,
YES1,22,8,21,9,26,91,,,
ZNF592,24,5,30,18,9,91,,,
ZNRF3,20,6,27,27,15,91,,,
ZSWIM1,25,9,34,6,12,91,,,
ANAPC2,13,12,8,20,31,90,,,
AQR,22,5,37,2,17,90,,,
ARPC1B,19,17,37,7,10,90,,,
ATHL1,17,8,12,18,29,90,,,
ATP5E,36,9,7,32,5,90,,,
BASP1,13,10,25,23,10,90,,,
CCDC107,10,8,42,9,16,90,,,
CCDC108,32,21,20,14,3,90,,,
CCDC84,20,12,36,10,8,90,,,
CCK,14,10,31,16,20,90,,,
CLASRP,25,10,6,32,12,90,,,
CLIP3,20,9,21,17,22,90,,,
CNOT10,12,27,36,9,7,90,,,
DZIP1L,33,11,15,15,15,90,,,
EAF1,22,15,36,15,6,90,,,
EXOC8,14,24,39,3,4,90,,,
FAM9A,39,25,16,5,1,90,,,
FOXM1,23,11,24,6,23,90,,,
FSCN2,18,5,9,20,21,90,,,
GALNT10,44,23,11,3,6,90,,,
GPR161,26,12,19,20,8,90,,,
HARS2,19,3,7,11,50,90,,,
HIST1H2BN,23,9,11,25,10,90,,,
HTR2B,22,6,11,24,27,90,,,
IDH3A,23,8,10,35,17,90,,,
KAT2B,21,17,42,4,1,90,,,
LOC730183,16,6,36,15,16,90,,,
LRRN4CL,17,10,12,33,6,90,,,
LY6G5B,44,6,9,7,26,90,,,
MRPL22,15,12,21,4,31,90,,,
MRPS34,19,15,22,1,31,90,,,
NCALD,24,33,19,7,5,90,,,
NLGN4X,17,23,24,16,13,90,,,
NOL7,42,6,17,16,6,90,,,
NRP1,20,10,19,18,22,90,,,
PCNXL2,19,15,42,2,8,90,,,
PGPEP1,12,18,53,3,2,90,,,
PRMT9,23,12,23,8,23,90,,,
PROM2,32,11,23,9,7,90,,,
PTPRF,38,4,25,12,6,90,,,
RPS27A,9,8,15,47,4,90,,,
SELO,14,8,27,25,12,90,,,
SEPHS1,25,5,14,8,37,90,,,
SFPQ,41,9,24,8,8,90,,,
SLC5A7,15,9,36,6,23,90,,,
SMARCD3,20,42,19,10,3,90,,,
SMURF1,36,19,15,10,6,90,,,
SORD,13,16,21,25,3,90,,,
SPEN,33,21,12,15,8,90,,,
TFAM,9,9,27,5,35,90,,,
TNFRSF18,32,24,9,10,7,90,,,
TTC27,47,9,17,12,4,90,,,
UBE3C,42,20,15,8,3,90,,,
UFD1,24,17,10,36,7,90,,,
ZMAT3,40,7,7,3,25,90,,,
ZNF211,31,29,13,2,11,90,,,
ABLIM3,13,34,27,3,7,89,,,
AHRR,26,4,43,10,8,89,,,
ALDH2,23,8,47,7,2,89,,,
APRT,33,20,2,7,17,89,,,
BACE2,14,22,43,6,3,89,,,
C20orf195,15,14,34,6,11,89,,,
CAMK2B,25,10,34,17,4,89,,,
CPSF1,17,13,14,25,10,89,,,
DIDO1,30,10,19,24,13,89,,,
DSEL,26,26,30,3,7,89,,,
EIF4G3,18,23,12,23,7,89,,,
ERMP1,11,9,44,4,17,89,,,
EXT2,35,11,7,19,7,89,,,
GGN,11,5,20,15,36,89,,,
GM2A,17,25,19,11,12,89,,,
GMEB1,21,13,15,8,29,89,,,
GPM6A,21,12,33,2,13,89,,,
GRIN2A,21,12,15,17,21,89,,,
HEXB,37,22,10,11,4,89,,,
HIST2H3D,23,23,28,4,6,89,,,
LCP2,23,16,16,23,4,89,,,
LOC100996379,20,24,12,5,20,89,,,
LOC107985773,15,32,13,13,16,89,,,
MB,39,10,14,8,11,89,,,
MPPE1,18,28,20,14,3,89,,,
MROH8,20,12,17,15,19,89,,,
NAT2,26,23,14,10,13,89,,,
NKAP,21,17,21,5,19,89,,,
NUP160,38,8,17,8,10,89,,,
PTGFR,36,15,14,6,6,89,,,
RAD51,17,20,22,28,7,89,,,
RAD9A,23,13,23,11,21,89,,,
RAPGEF3,35,5,10,22,9,89,,,
RCAN3,32,9,26,6,10,89,,,
RPL15,14,4,12,18,38,89,,,
RRN3,17,32,22,5,6,89,,,
SELT,31,9,6,12,26,89,,,
SEMA6D,13,6,39,20,10,89,,,
SHOX,40,21,13,6,6,89,,,
SHPK,35,14,22,4,5,89,,,
SIK3,16,24,32,7,11,89,,,
SNX7,16,12,35,5,10,89,,,
TEX2,38,23,12,4,8,89,,,
TMEM156,21,24,32,8,1,89,,,
TMEM184A,34,11,13,5,15,89,,,
TOR1A,34,23,13,8,8,89,,,
YIF1A,40,23,7,2,11,89,,,
ZBTB32,35,4,15,8,24,89,,,
ZBTB39,19,8,15,19,19,89,,,
ZNF169,15,5,4,37,20,89,,,
AAED1,21,13,16,19,18,88,,,
ADAP2,9,8,49,10,3,88,,,
BOLA1,16,7,43,8,7,88,,,
C3orf67,43,3,15,9,15,88,,,
CAPN1,36,22,12,8,6,88,,,
CCNYL1,12,21,38,7,8,88,,,
CD69,14,7,43,11,8,88,,,
CHCHD3,40,12,11,7,16,88,,,
CLCF1,14,20,24,22,3,88,,,
CORO6,16,31,17,17,4,88,,,
EPS15L1,32,13,31,4,4,88,,,
EXD3,41,5,16,13,12,88,,,
EXOSC3,35,3,30,1,11,88,,,
FBXO6,45,8,13,8,14,88,,,
FRMD5,33,37,6,4,9,88,,,
GGTLC2,16,13,27,8,24,88,,,
GOLGA8O,26,20,19,19,6,88,,,
GPC1,15,6,7,22,22,88,,,
GPRIN1,30,12,10,20,14,88,,,
GTF2E2,21,18,18,21,11,88,,,
GTF2H4,15,8,9,40,10,88,,,
HACD1,18,10,13,31,14,88,,,
HAUS8,24,40,12,8,3,88,,,
HEG1,12,20,35,5,9,88,,,
HOXA2,34,10,11,8,19,88,,,
IGBP1,21,9,5,38,8,88,,,
JMJD6,13,25,32,8,11,88,,,
KEAP1,12,11,16,18,35,88,,,
KLHL24,32,12,8,20,11,88,,,
KLHL35,32,6,21,4,20,88,,,
KLHL38,28,8,14,12,19,88,,,
LETMD1,19,11,13,25,11,88,,,
LIAS,40,10,16,10,9,88,,,
LOC105370691,37,12,15,6,11,88,,,
LOC105376353,27,23,31,4,7,88,,,
LOC107984014,28,25,16,12,7,88,,,
LOC107985896,14,17,34,6,9,88,,,
N6AMT1,42,11,9,13,9,88,,,
NECAP1,48,13,8,15,7,88,,,
NKIRAS2,19,16,35,8,9,88,,,
NRF1,16,3,20,16,30,88,,,
PLCB1,16,10,27,27,2,88,,,
PRDM1,16,21,20,3,25,88,,,
PRPF40A,28,34,11,11,4,88,,,
PRR36,19,37,20,5,5,88,,,
PRRT1,38,16,23,3,5,88,,,
RAB6C,41,13,20,6,5,88,,,
RNH1,12,26,41,3,3,88,,,
RSRP1,9,35,6,12,14,88,,,
SCAMP1,20,8,27,22,3,88,,,
SCN2A,21,5,20,27,10,88,,,
SLC38A1,28,24,14,7,10,88,,,
SNRNP200,34,12,13,13,5,88,,,
SNX11,20,13,18,16,20,88,,,
SUPV3L1,13,15,19,8,32,88,,,
SYTL1,10,22,49,3,5,88,,,
TADA2A,31,11,12,18,13,88,,,
TBCD,29,8,11,15,21,88,,,
TFG,6,18,42,7,6,88,,,
TTC33,16,27,29,8,5,88,,,
TUBB4B,29,9,11,20,14,88,,,
UBE2D3,43,4,23,7,10,88,,,
ZFP64,18,13,29,19,6,88,,,
ZNF786,15,4,30,5,26,88,,,
BAIAP3,29,8,13,28,9,87,,,
BLOC1S3,49,4,16,6,1,87,,,
C10orf76,12,26,9,34,7,87,,,
C8orf33,33,7,22,11,10,87,,,
CDAN1,27,9,33,13,1,87,,,
CDC6,31,29,17,5,2,87,,,
DPY19L2,27,8,15,21,9,87,,,
DUSP26,15,20,34,8,7,87,,,
FBXO21,45,16,13,11,3,87,,,
FKBP8,20,19,39,6,3,87,,,
FOXH1,15,35,19,2,9,87,,,
GAGE2D,16,5,11,23,13,87,,,
GCGR,13,15,15,6,32,87,,,
GOSR2,12,3,28,11,27,87,,,
GPR62,35,17,24,3,3,87,,,
GREB1,39,8,12,11,7,87,,,
GRID2,33,20,22,6,2,87,,,
KLHL7,28,11,11,12,19,87,,,
LARP4B,20,23,27,5,3,87,,,
LOC79999,25,5,36,3,14,87,,,
MAOA,38,8,19,13,4,87,,,
MASTL,13,13,40,7,4,87,,,
MKS1,18,19,33,10,3,87,,,
MRPL10,28,9,14,32,6,87,,,
MRPS33,27,11,13,4,30,87,,,
NARS2,23,12,8,10,33,87,,,
NBPF15,45,8,9,3,22,87,,,
NCCRP1,11,14,47,6,7,87,,,
PIK3R2,21,6,16,23,7,87,,,
PLA2G12A,26,5,38,5,9,87,,,
PLEC,17,5,27,20,9,87,,,
PMM2,4,33,43,3,0,87,,,
POFUT1,5,14,50,10,7,87,,,
PON1,7,32,40,3,1,87,,,
POU6F1,17,12,40,7,10,87,,,
RBBP6,12,17,37,14,4,87,,,
RCC2,10,16,20,16,30,87,,,
RPL27A,20,13,12,18,17,87,,,
RPS5,17,9,33,18,3,87,,,
SEC16A,38,1,13,8,21,87,,,
SLC22A14,15,26,37,5,2,87,,,
SMIM12,22,12,35,4,11,87,,,
SREK1,7,15,40,15,7,87,,,
ST14,23,8,21,8,25,87,,,
STUB1,25,6,15,16,19,87,,,
SULT1A1,34,12,18,4,8,87,,,
TFEB,22,23,30,4,9,87,,,
ZBTB7B,21,5,22,16,23,87,,,
ZC3H6,20,7,3,23,27,87,,,
ZNF608,27,10,20,22,3,87,,,
ZNF70,12,16,34,10,8,87,,,
ABTB2,26,16,7,9,31,86,,,
AHCYL1,19,9,11,15,32,86,,,
ATXN2L,22,8,9,34,6,86,,,
BCL10,23,18,12,22,6,86,,,
BIRC3,12,12,15,8,32,86,,,
C16orf71,26,28,12,11,6,86,,,
CDIP1,26,7,15,15,25,86,,,
CENPQ,15,10,40,5,9,86,,,
COX7A1,7,6,25,14,27,86,,,
CSDC2,36,13,21,3,2,86,,,
CXCL1,29,24,13,11,5,86,,,
DCAF16,19,13,42,9,3,86,,,
DPEP1,25,35,12,5,5,86,,,
EIF5,26,18,11,7,19,86,,,
ELF3,17,6,19,25,18,86,,,
ERVMER34-1,41,13,11,6,11,86,,,
FBXL18,5,18,39,8,13,86,,,
GNA12,17,17,27,8,19,86,,,
GRAMD1C,25,18,10,23,8,86,,,
HK2,25,6,38,4,11,86,,,
HNRNPK,14,19,38,1,6,86,,,
HPCA,23,17,18,21,4,86,,,
HSCB,40,17,9,6,8,86,,,
IQCB1,16,26,27,10,6,86,,,
KIF3C,24,25,21,6,9,86,,,
KRT81,21,10,21,7,25,86,,,
MAP3K4,13,30,22,8,6,86,,,
MARCHF10,19,14,45,2,6,86,,,
MED7,20,8,15,19,20,86,,,
MSANTD4,15,35,29,1,6,86,,,
MUC17,18,9,22,11,26,86,,,
NAPRT,38,8,13,11,11,86,,,
NDUFS7,24,13,33,5,12,86,,,
NEDD1,13,13,22,4,25,86,,,
NOMO1,17,3,12,8,38,86,,,
PELP1,16,12,5,30,14,86,,,
PHF6,24,10,42,5,4,86,,,
PITPNM3,20,35,2,20,1,86,,,
PPARGC1A,16,28,25,5,4,86,,,
PRR26,32,15,12,14,10,86,,,
RAB1B,18,15,25,6,19,86,,,
RELA,25,6,8,5,40,86,,,
RNGTT,24,9,11,9,24,86,,,
RPL13A,17,6,12,30,16,86,,,
SARS,34,17,11,17,4,86,,,
SCYL2,14,10,27,5,27,86,,,
SP100,20,31,20,3,10,86,,,
TBX6,39,9,19,4,12,86,,,
VDR,29,27,12,11,6,86,,,
ADRBK2,15,7,20,22,9,85,,,
ARFRP1,23,14,7,18,16,85,,,
ARHGAP12,19,6,15,7,27,85,,,
ATP5O,35,26,8,12,3,85,,,
C1orf56,14,10,37,6,16,85,,,
C2orf92,23,12,21,4,20,85,,,
CHAF1A,14,25,26,8,5,85,,,
CHKA,36,24,6,3,14,85,,,
CTAG2,30,23,11,7,12,85,,,
CYB5D1,15,2,46,1,14,85,,,
DHH,27,8,9,33,6,85,,,
DNASE2,15,26,24,6,2,85,,,
DVL2,16,12,19,20,14,85,,,
EZH2,23,11,11,16,24,85,,,
FAM127C,23,15,35,2,2,85,,,
FAM209B,15,24,33,12,1,85,,,
FBXO11,18,12,21,4,25,85,,,
FKBP2,22,23,22,6,6,85,,,
GIMAP2,40,22,6,8,8,85,,,
GORASP2,14,8,19,32,13,85,,,
GP1BB,35,12,22,3,11,85,,,
HIST2H2AC,20,28,19,4,7,85,,,
HNRNPC,40,4,28,6,3,85,,,
IMPDH2,14,3,53,7,4,85,,,
LOC107987175,22,5,17,15,27,85,,,
MAP3K2,27,8,9,22,16,85,,,
MED27,17,6,14,36,2,85,,,
MIGA2,10,8,28,16,27,85,,,
MRPL34,23,25,3,28,4,85,,,
MSRB2,13,34,19,11,6,85,,,
MYH3,19,16,7,11,33,85,,,
NDUFB1,18,15,22,3,25,85,,,
NUP50,27,9,11,20,13,85,,,
PCBP1,40,14,15,3,9,85,,,
PDE1B,18,38,23,4,0,85,,,
PML,14,10,30,27,5,85,,,
PRPF38B,35,18,11,11,7,85,,,
RAP1GDS1,16,15,21,12,19,85,,,
RNF40,30,16,10,25,7,85,,,
SELM,19,10,19,9,26,85,,,
SIRT7,12,30,25,8,6,85,,,
SLC2A12,24,40,12,1,3,85,,,
SLC37A2,33,23,15,7,3,85,,,
SMARCD1,30,11,12,20,10,85,,,
SNRK,32,21,21,1,3,85,,,
SPATA5,37,7,22,12,13,85,,,
SRP68,20,15,34,7,7,85,,,
SRRM1,35,19,8,12,7,85,,,
SYNE4,13,2,19,11,34,85,,,
TAGLN3,44,16,13,8,1,85,,,
TMEM178A,31,26,9,8,8,85,,,
TMEM57,27,9,35,5,4,85,,,
TRNT1,16,11,22,19,22,85,,,
TSC2,15,11,26,5,22,85,,,
TSPAN7,17,19,39,2,5,85,,,
VARS2,22,10,5,13,34,85,,,
ZNF256,32,6,17,18,11,85,,,
ZNF407,32,20,3,15,12,85,,,
ARMC12,12,5,36,10,20,84,,,
ATXN7L3,21,9,8,27,13,84,,,
BRIP1,39,14,17,9,4,84,,,
C19orf45,14,29,22,6,8,84,,,
C1QL3,9,9,15,14,40,84,,,
C7orf71,24,14,8,22,16,84,,,
CACFD1,28,23,16,9,4,84,,,
CDCA7,7,7,34,18,12,84,,,
DDX3Y,16,9,30,19,3,84,,,
DNAJC22,33,23,7,12,6,84,,,
FBLIM1,35,9,20,10,6,84,,,
HSPA9,32,2,19,14,20,84,,,
IDH3B,15,10,17,28,4,84,,,
LAPTM4B,15,13,35,6,7,84,,,
LOC107986982,42,12,3,11,7,84,,,
LY6G6C,32,7,15,16,8,84,,,
MED10,17,15,26,20,5,84,,,
MED31,21,9,8,30,9,84,,,
MGARP,39,8,18,13,4,84,,,
MGAT3,6,5,23,9,35,84,,,
NAA40,41,23,12,4,7,84,,,
NARS,16,12,18,26,2,84,,,
ORMDL2,22,12,15,13,22,84,,,
OVOL2,15,27,26,2,6,84,,,
PGBD3,16,2,10,38,9,84,,,
POLE2,17,8,14,27,3,84,,,
PTCH1,26,26,12,6,4,84,,,
RBM12B,34,20,16,12,1,84,,,
SACS,15,5,41,8,8,84,,,
SH3BP5,19,7,5,25,18,84,,,
SLC25A21,18,22,33,3,4,84,,,
SLMO1,13,18,18,18,7,84,,,
SNTB2,20,7,21,20,8,84,,,
SPRR1B,15,19,22,2,19,84,,,
SRSF11,19,13,35,2,9,84,,,
TMEM110,18,6,28,19,12,84,,,
TMEM262,38,5,11,13,10,84,,,
TRABD2A,20,23,32,5,1,84,,,
TRMT10C,17,11,18,9,20,84,,,
VASP,22,12,35,2,6,84,,,
VPS9D1,12,11,9,35,13,84,,,
ZFP36L1,47,7,9,3,13,84,,,
ADCY6,17,5,14,32,2,83,,,
AK4,40,8,7,4,17,83,,,
ALDH1L1,12,22,34,3,10,83,,,
AOC1,34,15,14,15,3,83,,,
ATRX,32,10,13,6,19,83,,,
AURKAIP1,19,13,11,4,37,83,,,
BNIP2,10,4,55,5,4,83,,,
C15orf54,11,17,37,14,5,83,,,
C16orf47,21,2,6,33,14,83,,,
C1orf110,24,13,10,6,23,83,,,
CBWD2,20,5,32,18,6,83,,,
CDC27,24,3,12,17,22,83,,,
CYP4A22,10,7,44,11,7,83,,,
DROSHA,16,12,37,9,10,83,,,
ENPP1,33,23,14,6,6,83,,,
F8,31,23,20,1,10,83,,,
FHL2,33,9,12,17,9,83,,,
HERC2,21,36,9,6,5,83,,,
HSPG2,17,11,33,10,11,83,,,
IL2RG,16,12,35,10,5,83,,,
ITPK1,14,11,40,5,8,83,,,
KIF20B,20,11,23,24,5,83,,,
KRT18,18,13,7,29,12,83,,,
LAGE3,36,18,15,5,2,83,,,
LEKR1,21,8,37,8,5,83,,,
LRTOMT,14,4,20,15,27,83,,,
MBD6,21,6,11,18,23,83,,,
MECR,9,13,41,1,15,83,,,
MRPL28,24,8,18,11,22,83,,,
MSMP,11,38,23,6,2,83,,,
NCAPH,14,8,27,9,20,83,,,
NDUFA9,13,9,8,12,39,83,,,
NUDT10,20,17,8,20,8,83,,,
OSBPL3,18,17,20,23,5,83,,,
PARS2,22,15,11,24,6,83,,,
PPAN-P2RY11,38,13,14,9,7,83,,,
PRRX2,17,14,21,18,10,83,,,
RHBDL2,11,3,43,12,8,83,,,
SPAG9,8,9,47,7,8,83,,,
SPATS2,32,14,9,15,6,83,,,
ST13,18,18,11,4,27,83,,,
ST3GAL3,17,9,36,5,9,83,,,
TMEM237,18,11,11,29,4,83,,,
ULBP3,19,13,12,12,26,83,,,
USP39,39,9,8,10,17,83,,,
VGLL3,12,39,24,1,7,83,,,
ZKSCAN4,22,29,13,12,7,83,,,
ZNF202,23,10,37,6,6,83,,,
ZNF253,27,9,36,12,3,83,,,
ATP1B3,29,5,16,18,12,82,,,
BCL7B,21,23,32,5,2,82,,,
BEX4,11,15,27,2,24,82,,,
BRD4,19,8,22,24,17,82,,,
BTAF1,33,14,6,5,20,82,,,
C10orf62,15,19,33,3,12,82,,,
C5orf22,32,18,16,9,4,82,,,
CA9,15,14,14,14,21,82,,,
CCDC136,20,28,26,3,3,82,,,
CDCP1,13,38,21,6,4,82,,,
CPS1,36,12,8,15,5,82,,,
DISC1,12,11,40,10,5,82,,,
DNMBP,13,8,20,24,12,82,,,
DOCK2,27,7,21,6,20,82,,,
EFCAB12,32,13,12,15,5,82,,,
EIF4EBP2,36,11,21,4,5,82,,,
ELF2,3,4,53,7,16,82,,,
FAM127B,25,9,8,19,11,82,,,
FAM157A,18,8,16,28,11,82,,,
GALNT8,19,14,33,7,1,82,,,
GCN1,15,36,18,8,4,82,,,
GYS1,12,9,41,7,7,82,,,
HIST1H3F,19,3,11,9,35,82,,,
JPH2,8,21,10,35,6,82,,,
KIAA1211,43,6,7,7,7,82,,,
LILRB3,19,17,24,19,2,82,,,
LIPC,15,11,41,3,8,82,,,
MEI1,39,10,7,11,11,82,,,
MTERF4,34,9,11,7,18,82,,,
MYOM3,29,35,8,2,3,82,,,
NAV1,11,9,16,26,16,82,,,
NBPF26,14,13,10,25,20,82,,,
NHLRC1,15,21,36,5,2,82,,,
NRARP,37,6,22,4,8,82,,,
NUBP2,18,15,17,11,21,82,,,
PFDN6,26,4,11,11,35,82,,,
PLA2G10,32,12,23,2,5,82,,,
PPFIBP1,11,16,21,9,24,82,,,
PTPN23,26,12,11,23,5,82,,,
RHEB,8,5,44,6,15,82,,,
RHOV,33,13,10,15,12,82,,,
RPL36A-HNRNPH2,19,4,10,22,26,82,,,
SAP18,17,10,34,7,2,82,,,
SAP30BP,15,31,18,4,6,82,,,
SERBP1,23,13,8,21,3,82,,,
SNRPB,36,11,18,9,3,82,,,
SOCS1,16,12,20,24,12,82,,,
SYT11,23,23,17,4,16,82,,,
SYTL2,14,10,44,0,9,82,,,
TCHP,10,8,25,22,13,82,,,
TGM2,25,23,15,15,2,82,,,
TMEM30A,11,10,26,10,21,82,,,
UBR7,21,2,34,4,15,82,,,
UPK3BL1,29,6,6,8,31,82,,,
WDR45B,33,7,23,2,17,82,,,
ZNF430,15,23,22,15,11,82,,,
ABCA7,18,13,8,28,1,81,,,
ADORA1,33,7,12,16,6,81,,,
AMDHD2,16,28,26,5,2,81,,,
ARVCF,8,15,47,2,7,81,,,
CBX5,17,23,14,17,4,81,,,
CHRNB2,11,16,23,18,9,81,,,
COLEC10,42,14,14,6,4,81,,,
CRELD2,27,14,13,19,4,81,,,
CXorf58,15,17,18,21,7,81,,,
DHRS11,14,9,22,30,3,81,,,
DMTN,19,16,33,2,2,81,,,
DPM3,15,37,4,10,15,81,,,
EIF3L,32,14,20,9,9,81,,,
FASTKD2,20,11,10,23,8,81,,,
FEZ2,16,6,8,26,16,81,,,
FLI1,19,30,20,3,8,81,,,
GOLGA8J,22,15,5,25,6,81,,,
HEATR6,20,24,14,7,5,81,,,
HLA-DQA2,24,6,37,2,5,81,,,
HSD17B4,27,9,11,3,26,81,,,
HYAL1,11,6,18,29,5,81,,,
KRT13,10,11,47,6,7,81,,,
LHCGR,18,16,35,5,2,81,,,
LOC112268168,15,7,10,34,7,81,,,
LY75,17,6,19,17,20,81,,,
MCM3,15,11,16,28,15,81,,,
MEP1B,26,9,13,4,24,81,,,
MGLL,18,7,12,22,18,81,,,
MIR205HG,14,26,28,6,5,81,,,
MT1E,13,16,34,8,6,81,,,
NAALADL2,45,9,16,5,5,81,,,
NONO,22,4,14,4,27,81,,,
NOP2,41,3,17,12,8,81,,,
OTUD7B,33,4,6,6,28,81,,,
PAQR3,34,23,19,5,2,81,,,
PARD6B,18,7,34,7,12,81,,,
PLPP1,13,9,37,8,8,81,,,
POLE3,24,3,18,9,23,81,,,
PPTC7,13,8,15,36,5,81,,,
PTEN,39,4,21,4,5,81,,,
