gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum,,
NCAPG2,13,8,7,6,13,53,,
MED6,17,7,7,17,2,53,,
RPL10A,17,4,8,17,9,53,,
UQCC1,18,14,8,6,7,53,,
ZNF91,11,7,8,20,6,53,,
FUT7,20,19,8,2,5,53,,
ZBTB11,22,4,8,11,2,53,,
FKBPL,18,1,9,1,26,53,,
RPS25,5,6,9,9,18,53,,
GRAMD1A,12,4,9,5,17,53,,
SYNGR2,11,5,9,10,15,53,,
GOLGA7,10,18,9,6,10,53,,
SUV39H1,16,7,9,7,6,53,,
ALCAM,14,8,9,10,5,53,,
TMEM38B,28,8,9,7,0,53,,
GVQW3,10,3,10,6,21,53,,
KHSRP,12,5,10,7,15,53,,
RDM1,15,11,10,3,10,53,,
RPS13,15,9,10,7,9,53,,
MITD1,16,18,10,2,6,53,,
CARS2,19,6,10,9,0,53,,
KANSL2,10,6,11,7,16,53,,
SLC33A1,19,10,11,3,5,53,,
CASP7,15,12,11,6,3,53,,
PDAP1,11,8,12,7,10,53,,
MAP4K3,22,4,12,4,9,53,,
UBE2V1,15,5,12,13,4,53,,
GDPD5,10,0,13,6,20,53,,
ARHGAP11B,12,4,13,4,13,53,,
TPST2,8,10,13,5,13,53,,
ZNF227,9,11,13,5,10,53,,
PC,15,12,13,5,6,53,,
GCHFR,18,8,13,11,3,53,,
MYO9B,12,1,13,17,3,53,,
BORA,12,22,13,2,2,53,,
LOC107987125,15,11,13,5,2,53,,
GSK3B,11,3,14,3,19,53,,
ZSCAN5A,9,4,14,4,18,53,,
SLC35C1,15,9,14,5,7,53,,
SUB1,10,5,14,18,5,53,,
INTS10,19,3,14,11,2,53,,
SMS,10,13,14,4,1,53,,
ORAOV1,15,11,14,3,0,53,,
DHDH,12,1,15,3,22,53,,
PIM2,6,14,15,6,7,53,,
AGAP3,18,13,15,1,0,53,,
ITPA,14,13,15,8,0,53,,
MIEN1,8,9,16,2,12,53,,
CHMP2A,12,7,16,10,4,53,,
EAF2,7,10,17,9,5,53,,
PRPF19,16,10,17,4,3,53,,
LOC105369274,10,4,18,4,12,53,,
EWSR1,12,7,18,10,3,53,,
ARHGAP31,16,14,18,3,0,53,,
RPL7A,3,10,20,3,14,53,,
ADORA2B,14,6,20,4,6,53,,
TUBB3,16,6,20,6,1,53,,
ZNF232,16,5,21,2,5,53,,
ADORA2A,8,11,21,5,5,53,,
PPM1N,8,14,21,1,2,53,,
OGFR,14,8,22,2,3,53,,
CHI3L1,9,15,23,3,2,53,,
DNAL4,5,16,23,4,2,53,,
CDAN1,9,8,24,1,1,53,,
TAF7L,6,10,26,6,3,53,,
PRCC,5,16,27,3,0,53,,
PLAGL1,11,6,28,3,4,53,,
ZNF865,10,11,28,4,3,53,,
STARD9,6,6,28,11,2,53,,
SHF,7,7,29,4,7,53,,
ORC1,5,9,30,4,2,53,,
COQ2,3,1,1,3,42,52,,
IGSF8,10,1,1,11,21,52,,
MRPL37,10,2,2,3,27,52,,
CLASRP,16,6,3,3,22,52,,
UNKL,15,4,3,7,22,52,,
RAE1,17,3,3,2,21,52,,
RAB42,15,24,3,4,2,52,,
APRT,9,2,4,7,27,52,,
MAPT,12,7,4,6,14,52,,
DRAP1,21,7,4,6,12,52,,
PLB1,18,18,4,4,4,52,,
C15orf54,12,18,4,11,2,52,,
MRPL24,6,1,5,3,35,52,,
PCGF6,14,3,5,8,21,52,,
LOC107986804,10,5,6,8,18,52,,
EIF4B,9,7,6,9,18,52,,
FEN1,6,5,6,11,18,52,,
PITRM1,21,2,6,6,17,52,,
NOLC1,9,7,6,15,8,52,,
SF3B3,8,20,6,6,5,52,,
ZC3H8,24,4,6,4,4,52,,
ATP5SL,9,10,7,0,25,52,,
MFSD4,13,2,7,7,19,52,,
TAPT1,10,6,7,6,17,52,,
DPH3P1,12,6,7,7,16,52,,
ACTN4,17,11,7,6,10,52,,
PROS1,16,11,7,5,7,52,,
CTSF,21,13,7,4,6,52,,
ZMYND11,13,12,7,5,4,52,,
ZFP41,19,4,7,11,3,52,,
CCT5,11,7,8,5,15,52,,
NBPF11,15,4,8,11,8,52,,
FBXL22,30,8,8,2,5,52,,
MAP1LC3A,17,12,8,4,5,52,,
YPEL4,14,4,9,5,17,52,,
VPS37C,10,12,9,3,15,52,,
PCDHGA5,15,5,9,14,6,52,,
ZFYVE26,26,5,9,7,3,52,,
DMAP1,15,5,10,11,6,52,,
SMG9,11,1,11,4,21,52,,
B4GAT1,15,6,11,3,15,52,,
MIPEP,9,7,11,8,15,52,,
POLR2L,19,2,11,9,7,52,,
MSL1,17,13,11,3,4,52,,
MINPP1,10,6,12,3,18,52,,
NFKBIE,11,2,12,11,15,52,,
TATDN3,17,4,12,5,12,52,,
LOC107987070,19,11,12,5,2,52,,
KBTBD2,17,20,12,1,1,52,,
ZNF567,18,18,12,1,0,52,,
ITFG2,19,15,12,2,0,52,,
PPP1R35,14,3,13,3,17,52,,
CRLF3,11,4,13,9,14,52,,
TFDP2,14,14,13,6,6,52,,
HAUS1,16,11,13,1,2,52,,
PDE1B,19,7,13,7,1,52,,
MACROD1,7,14,14,5,7,52,,
STAG2,10,11,14,13,5,52,,
CALB1,18,5,14,8,4,52,,
SNX14,4,2,15,4,26,52,,
SPATA2L,17,5,15,6,7,52,,
PPP1R9A,11,16,15,1,4,52,,
SIX2,10,18,15,2,4,52,,
TXNRD1,10,20,15,3,3,52,,
KCNQ4,19,9,15,5,0,52,,
GHITM,8,19,16,0,5,52,,
RBBP9,10,19,16,0,3,52,,
PCDH17,13,11,16,5,2,52,,
FURIN,10,3,17,5,12,52,,
CORO7,14,9,17,2,7,52,,
ZYX,6,7,18,2,17,52,,
CSNK1G3,13,5,18,0,12,52,,
PI4K2B,11,15,18,5,2,52,,
SNRNP27,13,11,19,3,4,52,,
C16orf62,8,4,19,9,4,52,,
PPHLN1,8,10,19,12,2,52,,
UBA6,8,5,21,4,5,52,,
GGA2,8,4,22,5,12,52,,
PDCL,7,2,22,6,12,52,,
RPL18,10,9,22,3,6,52,,
PROX2,11,9,22,4,6,52,,
DLX3,13,16,22,1,1,52,,
KCNK5,6,10,23,6,6,52,,
CENPQ,9,2,24,6,10,52,,
MRS2,14,7,24,3,1,52,,
FAN1,8,2,25,3,11,52,,
ZNF311,7,4,27,7,5,52,,
RELL2,5,13,27,3,1,52,,
PTCH2,7,4,28,5,5,52,,
TRAPPC2,10,7,28,4,3,52,,
ICAM1,7,10,29,0,2,52,,
MEF2B,9,4,31,3,0,52,,
CLIC4,11,4,34,1,1,52,,
PLA2G10,16,3,1,3,19,51,,
BAG5,11,14,2,7,13,51,,
CAPS2,12,11,2,10,10,51,,
SH3PXD2B,28,13,2,6,0,51,,
SYNGR4,7,1,3,1,34,51,,
ERGIC1,16,6,3,5,19,51,,
PCDHGA3,7,5,3,16,9,51,,
STOML2,15,7,4,0,22,51,,
TMEM120A,6,0,5,6,29,51,,
KAT7,9,7,5,13,9,51,,
AQP3,12,13,5,11,8,51,,
SLC25A45,21,3,5,13,1,51,,
EAPP,9,1,6,2,32,51,,
COX8A,7,14,6,4,14,51,,
PRKD1,19,15,6,2,5,51,,
AKAP13,15,9,6,10,3,51,,
PIGX,23,15,6,2,2,51,,
TMEM101,23,7,6,6,1,51,,
PCDHGC5,10,6,7,0,26,51,,
MED10,9,7,7,4,17,51,,
LOC100996365,16,7,7,5,13,51,,
ADAM33,18,7,7,3,12,51,,
ARPC1A,19,9,7,5,9,51,,
CYP4A22,17,7,7,12,9,51,,
QPCTL,11,4,7,20,9,51,,
CHD2,17,12,7,1,8,51,,
PMEL,13,13,7,1,8,51,,
WDR83,14,9,8,1,16,51,,
SFPQ,10,3,8,14,11,51,,
C12orf57,16,10,8,12,5,51,,
SBNO2,17,4,8,6,3,51,,
CCM2,8,3,8,22,1,51,,
EZH1,5,5,9,3,24,51,,
FIS1,10,10,9,1,17,51,,
UNC93B1,13,6,9,4,14,51,,
SMIM22,22,8,9,0,9,51,,
MR1,26,14,9,1,2,51,,
PCDHGA9,5,5,9,26,2,51,,
CITED2,17,19,9,5,0,51,,
ACTN1,12,21,10,1,4,51,,
LOC102724813,15,13,10,7,4,51,,
TCF24,11,13,10,14,3,51,,
TBL1XR1,14,6,11,3,17,51,,
CCER2,9,3,11,11,14,51,,
BTBD7,19,11,11,4,2,51,,
RPS16,16,9,11,8,2,51,,
MMP24OS,12,4,12,4,16,51,,
TOP1,9,5,12,9,13,51,,
DPYD,8,12,12,4,12,51,,
KIAA0232,14,13,12,1,2,51,,
OPRL1,22,7,12,6,2,51,,
OTUB1,8,26,12,3,1,51,,
TMEM189-UBE2V1,6,3,13,9,13,51,,
ARL6IP6,25,6,13,2,4,51,,
NLK,8,4,13,16,4,51,,
AQP6,10,23,13,3,2,51,,
NBPF1,14,14,13,7,0,51,,
SEMA6D,9,6,14,4,18,51,,
GTF2I,6,7,14,7,14,51,,
NTMT1,8,8,14,11,8,51,,
NGEF,14,21,14,4,1,51,,
MAPK1,8,4,15,4,17,51,,
LOC100286986,14,12,15,4,2,51,,
ZNF593,13,12,15,9,2,51,,
NOV,17,9,15,5,1,51,,
TRIP13,10,5,16,3,8,51,,
TRMT1,10,11,17,1,8,51,,
LBX2,10,12,17,5,7,51,,
ANO10,5,6,17,16,6,51,,
N6AMT1,14,9,17,0,4,51,,
STK16,14,5,17,11,2,51,,
AMIGO2,8,5,18,6,7,51,,
EMC4,5,13,18,8,2,51,,
OIP5,10,13,18,4,1,51,,
CKMT1B,15,13,18,6,1,51,,
ZFP37,11,11,19,5,2,51,,
CRTC3,14,7,22,6,2,51,,
TOX,5,7,23,6,6,51,,
CBFA2T2,15,8,23,5,1,51,,
HIST1H2BJ,14,4,24,2,4,51,,
EFNB1,9,15,24,2,2,51,,
RBMS1,21,2,24,0,1,51,,
11-Sep,10,6,25,6,1,51,,
FBXO9,3,3,26,5,11,51,,
SBDS,12,6,26,9,0,51,,
PDXP,3,15,27,2,2,51,,
SLPI,6,6,32,0,5,51,,
NPAS4,3,5,1,1,33,50,,
C21orf140,4,2,2,2,40,50,,
CHRNA10,30,3,2,0,10,50,,
TRPS1,18,18,2,4,8,50,,
SPTLC2,13,7,2,18,5,50,,
VWF,27,11,2,3,4,50,,
SLC4A1AP,24,17,2,4,2,50,,
CD248,5,3,3,1,31,50,,
BICDL2,7,9,3,1,29,50,,
EPGN,17,4,3,3,25,50,,
CABP4,6,4,3,7,23,50,,
C11orf80,23,9,3,2,8,50,,
NF1,29,1,3,5,6,50,,
RELA,22,7,3,11,5,50,,
MRPS9,2,3,4,2,35,50,,
LOC107987155,13,11,4,8,13,50,,
TAF3,22,6,4,1,9,50,,
TRAIP,20,6,4,10,5,50,,
EFNA3,22,17,4,2,2,50,,
AKT2,10,1,5,6,25,50,,
ATP5I,6,1,5,3,24,50,,
STK40,15,0,5,5,23,50,,
LRFN3,9,3,5,13,19,50,,
EAF1,14,8,5,4,16,50,,
YIF1A,10,1,5,8,16,50,,
KLHL35,19,4,5,7,12,50,,
MED19,15,4,5,16,12,50,,
CCT2,15,4,5,11,7,50,,
GDF5,9,3,6,15,12,50,,
SUPT4H1,9,3,6,18,10,50,,
CHD1,22,4,6,8,9,50,,
TERF1,11,8,6,15,9,50,,
OPLAH,16,8,6,4,7,50,,
SAP130,12,4,6,21,3,50,,
MRPL28,9,5,7,2,25,50,,
HMOX2,12,5,7,2,22,50,,
GPC6,8,15,7,4,13,50,,
SP3,14,6,7,6,13,50,,
DNA2,12,4,7,9,8,50,,
TECR,15,10,7,9,7,50,,
DDX55,22,3,7,9,2,50,,
RAP1B,2,7,8,1,30,50,,
PRRT4,18,2,8,4,18,50,,
LRRC32,5,14,8,2,17,50,,
HIST1H3F,13,7,8,2,15,50,,
DNAJC6,7,5,8,15,14,50,,
BBS2,15,2,8,9,12,50,,
LOC102723971,18,5,8,1,9,50,,
ZNF282,3,21,8,7,5,50,,
RPL21,11,5,8,18,3,50,,
NUP188,17,10,8,8,2,50,,
MRPL2,10,2,9,2,23,50,,
PRPF3,11,3,9,1,20,50,,
CHCHD10,7,5,9,8,14,50,,
TBCCD1,11,13,9,3,12,50,,
CACNA1C,17,10,9,0,10,50,,
TMEM214,18,7,9,3,8,50,,
RAVER1,20,3,9,7,8,50,,
DNMT3L,20,4,9,7,8,50,,
PIK3R2,19,6,9,3,7,50,,
AK8,15,3,9,9,5,50,,
PLOD1,12,7,10,10,7,50,,
EN1,8,21,10,3,6,50,,
NLRP3,16,8,10,6,6,50,,
AURKB,9,5,11,3,19,50,,
MED21,8,8,11,9,11,50,,
RAD51B,17,13,11,4,3,50,,
TXNL4A,4,5,11,22,2,50,,
RGP1,17,4,12,4,10,50,,
NDC80,7,13,12,3,9,50,,
TSPYL2,20,6,12,4,5,50,,
PARP16,14,10,12,12,3,50,,
ANXA2R,19,11,12,2,0,50,,
PXMP4,7,4,13,2,20,50,,
SF3B6,16,4,13,9,7,50,,
TMEM199,9,12,14,3,7,50,,
PUSL1,10,8,14,9,6,50,,
HACL1,10,12,14,4,5,50,,
ZNF720,6,8,15,14,5,50,,
METTL25,4,14,15,7,2,50,,
MAFG,9,6,15,11,2,50,,
MRM1,8,10,16,2,9,50,,
ADORA1,16,6,16,3,6,50,,
RAB40B,9,4,16,7,5,50,,
TPM1,11,11,16,3,3,50,,
C9orf64,18,10,16,1,2,50,,
PLRG1,12,19,16,1,2,50,,
LOC646652,11,0,17,2,19,50,,
SPATA5L1,12,1,17,3,17,50,,
DUSP26,15,11,17,1,6,50,,
SHC4,14,9,17,3,3,50,,
DCAF7,4,10,17,5,2,50,,
PTGER3,10,14,17,6,0,50,,
CCDC51,11,6,18,3,8,50,,
NHLRC2,15,5,18,7,6,50,,
WAPL,5,3,19,1,19,50,,
HYLS1,4,4,19,6,11,50,,
OMG,10,4,19,9,4,50,,
ABHD15,5,11,19,8,1,50,,
SAT2,9,6,20,4,7,50,,
MAP4,10,10,20,3,3,50,,
SMG6,7,10,21,2,3,50,,
C15orf48,9,18,21,2,1,50,,
GGT6,9,8,22,3,1,50,,
FBXO28,2,3,23,0,21,50,,
SMARCA2,10,9,23,1,3,50,,
KDR,8,12,23,1,3,50,,
C1GALT1C1,7,7,27,5,2,50,,
RAB9A,7,4,33,2,1,50,,
RPS12,19,18,0,2,0,49,,
HNRNPDL,19,2,2,5,21,49,,
LOC389895,15,4,2,17,6,49,,
PDE3A,25,8,2,6,5,49,,
NDUFB7,3,0,3,2,36,49,,
MRPS15,14,0,3,2,30,49,,
TOMM40L,7,7,3,4,27,49,,
CAP1,13,2,3,6,22,49,,
IQCG,18,1,3,10,11,49,,
C11orf71,27,3,3,0,9,49,,
FAM159B,24,10,3,5,2,49,,
GNB2,8,1,4,0,29,49,,
POU2F2,11,3,4,4,26,49,,
RB1,16,4,4,18,5,49,,
TMEM242,9,6,5,4,25,49,,
ZNF605,11,2,5,3,22,49,,
C15orf61,13,5,5,8,13,49,,
MTFR1,14,6,5,12,5,49,,
SNAP23,18,6,5,12,3,49,,
P2RX3,6,2,6,4,27,49,,
RHEB,9,2,6,7,20,49,,
BAZ2A,11,8,6,3,16,49,,
KLHL21,5,7,6,4,16,49,,
MAGOHB,16,6,6,8,7,49,,
RABL2A,4,6,7,2,25,49,,
RRAGC,8,2,7,8,21,49,,
CADM2,16,7,7,4,15,49,,
LUZP2,10,3,7,9,15,49,,
TIMM23,8,16,7,2,12,49,,
FCRLA,16,7,7,6,6,49,,
VPS51,8,6,7,14,6,49,,
MARK2,21,5,7,4,2,49,,
AGAP5,24,12,7,6,2,49,,
IKZF1,13,3,8,6,16,49,,
LAMA2,10,2,8,7,16,49,,
NUFIP2,8,2,8,16,13,49,,
PHOSPHO2-KLHL23,25,3,8,4,7,49,,
DUSP23,16,7,8,10,5,49,,
LYNX1,10,11,8,16,2,49,,
PPTC7,8,3,9,4,24,49,,
IWS1,11,7,9,5,16,49,,
GLE1,12,5,9,2,15,49,,
SPTB,17,11,9,1,5,49,,
TCTN1,18,6,9,6,5,49,,
FAM133B,9,16,9,4,3,49,,
MED15,20,9,9,7,2,49,,
TBCE,8,5,10,3,21,49,,
ZEB2,11,2,10,4,19,49,,
WDR88,12,10,10,1,15,49,,
MICA,16,4,10,2,15,49,,
P4HA3,11,14,10,3,8,49,,
MED17,9,5,11,8,13,49,,
AHNAK,4,23,11,3,6,49,,
SNRNP35,10,12,11,10,4,49,,
FAM167A,14,16,11,6,2,49,,
TTI2,13,14,12,8,3,49,,
WFDC2,15,12,12,8,2,49,,
GCNT2,8,1,13,1,24,49,,
GTPBP1,7,3,13,0,19,49,,
KCTD14,18,7,13,1,8,49,,
INO80,23,9,13,5,0,49,,
DNAJC21,5,4,14,4,18,49,,
FAM185A,5,0,14,14,13,49,,
USPL1,12,7,14,14,3,49,,
ASTL,10,3,15,11,8,49,,
PHYH,9,16,15,2,5,49,,
ILVBL,6,17,15,5,4,49,,
HCAR2,15,15,15,1,2,49,,
PCDHB4,7,12,16,2,13,49,,
LYZ,9,6,16,8,5,49,,
COMMD2,13,9,16,8,3,49,,
HSDL1,14,11,16,0,0,49,,
KANSL3,13,8,16,5,0,49,,
FKBP7,13,6,17,3,10,49,,
RAB6C,8,1,18,2,16,49,,
RPL36,7,11,18,4,9,49,,
PITPNM3,11,4,18,3,7,49,,
SGSM2,7,8,18,6,6,49,,
BOP1,13,3,20,5,9,49,,
GTDC1,11,4,20,4,7,49,,
SSUH2,10,10,20,4,7,49,,
KRT18,11,5,20,1,3,49,,
HMGA2,7,13,21,4,4,49,,
NPRL2,12,3,21,5,4,49,,
ADAM20,13,3,22,2,8,49,,
TUBB8,12,10,22,1,3,49,,
HOXB13,12,7,22,3,3,49,,
ARHGEF3,8,12,22,4,1,49,,
VANGL1,6,2,23,3,16,49,,
LGALS9B,8,6,23,3,5,49,,
NDRG4,6,7,23,6,2,49,,
NAIF1,12,5,25,5,3,49,,
DOK4,8,10,26,3,3,49,,
ACTR5,7,6,26,6,2,49,,
GNPTG,8,4,31,3,1,49,,
OCA2,2,7,32,4,3,49,,
TM9SF2,6,4,33,3,4,49,,
COMMD3,4,3,33,4,4,49,,
GPR4,10,2,1,4,31,48,,
KCTD10,6,7,1,5,16,48,,
HAUS8,16,6,1,12,8,48,,
SCO1,5,2,2,3,32,48,,
PITPNB,11,1,2,5,27,48,,
SKA1,13,3,2,3,25,48,,
C1QBP,8,6,2,6,19,48,,
TFIP11,12,12,2,4,11,48,,
AARS2,8,1,3,5,32,48,,
MTG1,4,7,3,6,29,48,,
GRSF1,6,4,3,8,19,48,,
SETD7,11,3,3,21,10,48,,
HBQ1,9,8,3,15,5,48,,
FAM78A,5,2,4,4,24,48,,
MRPL46,6,3,4,6,23,48,,
TUBD1,21,6,4,3,9,48,,
CARD9,17,13,4,2,6,48,,
NUP58,11,6,5,8,16,48,,
ZC3H10,13,7,5,8,13,48,,
ZNF664,9,3,5,10,12,48,,
MICAL1,7,12,5,4,11,48,,
NUP35,16,4,5,6,8,48,,
NEDD8,16,4,5,14,4,48,,
BHLHE22,24,6,5,4,3,48,,
ZNF56,16,8,5,12,2,48,,
EFNA2,8,6,6,0,23,48,,
SMPDL3B,7,1,6,3,21,48,,
BCS1L,11,7,6,4,16,48,,
RPL13,5,2,6,5,16,48,,
UGGT1,17,2,6,4,15,48,,
SF3B4,9,12,6,8,9,48,,
FAS,16,8,6,9,8,48,,
HERPUD1,17,9,6,6,7,48,,
PSMD13,10,9,6,9,6,48,,
TRIP12,26,0,6,8,5,48,,
BRPF1,9,8,6,19,5,48,,
GRK6,19,11,6,4,4,48,,
E4F1,2,3,7,1,31,48,,
NABP2,8,3,7,3,23,48,,
LYPD6,5,4,7,4,21,48,,
TCIRG1,8,5,7,8,16,48,,
HSD11B1,12,6,7,7,15,48,,
PSMA3,13,13,7,5,13,48,,
TRIM13,10,4,7,11,11,48,,
RPS8,18,7,7,7,6,48,,
OSCAR,16,2,7,13,6,48,,
PSMC1,19,8,7,2,5,48,,
SETD5,8,1,7,24,4,48,,
BRIX1,27,1,7,5,3,48,,
PFDN5,19,6,7,7,3,48,,
ZNF765-ZNF761,13,3,7,22,1,48,,
MRPL36,9,2,8,2,26,48,,
ZNF532,8,3,8,2,23,48,,
TTC16,11,8,8,5,16,48,,
ZNF507,16,3,8,1,15,48,,
CLCF1,9,14,8,0,14,48,,
MRPS28,10,8,8,3,14,48,,
PLBD2,6,12,8,4,13,48,,
SENP8,10,6,8,10,10,48,,
RPSAP58,9,6,8,20,1,48,,
TEAD4,5,2,9,1,25,48,,
GATAD1,5,4,9,2,22,48,,
TMEM258,10,4,9,4,15,48,,
LOC105375809,13,5,9,5,15,48,,
HILPDA,5,6,9,7,15,48,,
IQCK,10,13,9,3,8,48,,
KARS,12,13,9,7,7,48,,
HIST3H2A,9,12,9,3,5,48,,
TBX3,9,9,9,12,4,48,,
DAB2,6,3,10,5,19,48,,
LSM4,19,4,10,2,8,48,,
PDPK1,20,5,10,3,6,48,,
SRPRB,18,8,10,6,6,48,,
FAM156A,16,13,10,3,3,48,,
AGO2,20,9,10,4,2,48,,
THAP11,5,8,11,11,12,48,,
DHDDS,13,14,11,3,7,48,,
ZNF778,13,8,11,10,5,48,,
SLC14A1,12,6,11,10,4,48,,
ATRIP,21,11,11,1,2,48,,
AMOTL2,18,3,11,12,1,48,,
ARAP1,18,6,11,9,0,48,,
IDI1,11,4,12,2,15,48,,
CEP55,7,7,12,5,15,48,,
ZNF668,11,9,12,9,5,48,,
PPP1R16A,11,13,12,3,3,48,,
KSR1,10,7,12,10,3,48,,
ANKRD52,12,12,12,6,1,48,,
H3F3A,10,15,12,10,1,48,,
RIPK1,10,14,13,3,5,48,,
PGM5,21,5,13,2,3,48,,
DTL,14,12,13,6,3,48,,
SPATA21,18,2,13,5,0,48,,
COPA,10,6,14,10,4,48,,
PPAT,8,8,14,11,2,48,,
HMGN2,16,6,14,8,1,48,,
DLG5,6,4,15,11,6,48,,
DSTN,9,16,15,5,1,48,,
TAF6L,8,2,16,5,15,48,,
RAET1G,16,2,16,4,11,48,,
RTF1,9,9,16,4,4,48,,
EPC2,11,7,17,7,3,48,,
RPS10-NUDT3,16,6,17,1,1,48,,
LEMD1,14,10,17,2,0,48,,
CLK3,7,4,18,1,18,48,,
NSFL1C,9,2,18,2,10,48,,
C2orf92,13,7,18,0,6,48,,
GOLGA8R,11,9,18,6,1,48,,
EPN2,16,6,19,4,3,48,,
LOC105378189,11,14,19,3,1,48,,
RBPMS2,5,10,21,1,7,48,,
SCARF2,7,9,21,1,4,48,,
ZMYM1,12,7,22,3,2,48,,
LRRC28,6,15,23,0,2,48,,
CPT1C,7,6,24,2,6,48,,
TSPAN7,7,11,24,2,2,48,,
CNTROB,6,4,28,5,2,48,,
PDHX,3,1,30,1,6,48,,
RBMS2,10,5,0,8,14,47,,
DDIAS,11,5,1,2,28,47,,
FAM46A,22,1,1,7,15,47,,
LOC105378260,14,10,1,17,2,47,,
EHD2,5,5,1,27,1,47,,
GPR137,8,21,2,3,2,47,,
SNURF,22,8,2,11,2,47,,
CPSF3,13,4,3,3,23,47,,
LOC101927789,20,3,3,6,11,47,,
REPIN1,3,3,4,0,32,47,,
SF3A1,8,2,4,1,28,47,,
TRPM7,11,2,4,8,14,47,,
PGK1,11,9,4,8,13,47,,
LEPR,14,10,4,11,6,47,,
RAB2A,12,6,5,2,18,47,,
NFASC,10,2,5,13,16,47,,
DUSP27,12,4,5,4,13,47,,
TSPYL1,21,11,5,3,7,47,,
COPS5,22,3,5,3,2,47,,
E2F3,15,4,5,15,1,47,,
CEP164,10,2,6,4,22,47,,
RPRD2,7,7,6,6,18,47,,
BTF3,11,4,6,7,15,47,,
CNOT1,14,5,6,4,14,47,,
TCTA,13,7,6,15,5,47,,
SMPD1,11,19,6,5,4,47,,
GJC1,16,3,6,6,3,47,,
PRPF8,8,4,6,23,2,47,,
ZNF680,18,11,6,6,0,47,,
FTO,7,2,7,4,21,47,,
MCM3AP,13,3,7,7,14,47,,
XK,22,2,7,6,9,47,,
MEGF9,4,1,8,2,28,47,,
DDX58,15,6,8,1,15,47,,
LEO1,14,6,8,9,7,47,,
SLC24A1,11,5,8,12,6,47,,
CNBD2,17,4,8,6,5,47,,
FXR1,20,1,8,8,5,47,,
PITPNC1,20,15,8,2,1,47,,
GABRQ,12,19,8,4,1,47,,
ZNF83,16,13,8,6,1,47,,
DENND5A,13,6,9,0,13,47,,
WDR82,10,2,9,9,9,47,,
LOC107984110,19,2,9,2,8,47,,
INVS,13,12,9,7,5,47,,
SIAE,12,14,9,5,4,47,,
CFDP1,14,9,9,10,1,47,,
PCF11,9,1,10,7,14,47,,
DCDC2B,17,7,10,7,4,47,,
FBXO5,5,7,10,13,4,47,,
CORO1A,25,4,10,4,3,47,,
HIST1H2BG,7,18,11,0,10,47,,
RPL37,8,3,11,11,8,47,,
SDHAF2,18,11,11,2,5,47,,
SPCS1,12,12,11,6,4,47,,
CHMP6,11,3,11,13,4,47,,
FSTL3,19,9,11,3,2,47,,
CDC7,12,15,11,3,1,47,,
ACE,11,5,11,13,1,47,,
LRRC8A,18,16,11,1,0,47,,
PLEK2,18,6,12,5,2,47,,
ALDH3A2,11,16,12,2,1,47,,
YIPF1,12,6,12,10,1,47,,
AMER1,18,4,13,4,6,47,,
MAG,4,20,13,2,3,47,,
NARR,19,8,13,3,1,47,,
CHRNA5,5,8,13,14,1,47,,
PDCL3,4,2,14,7,18,47,,
BACE2,7,4,14,2,15,47,,
RAF1,10,12,14,2,4,47,,
DUSP14,11,4,14,11,4,47,,
RUVBL1,8,5,14,11,3,47,,
USP5,22,1,14,6,2,47,,
HSF2,19,4,14,9,1,47,,
SMIM10L2B,14,15,14,1,0,47,,
GNAI3,11,6,15,2,13,47,,
ANGEL1,8,13,15,3,6,47,,
MYO5A,11,12,15,7,2,47,,
FYB,14,2,16,6,7,47,,
NFRKB,5,9,17,8,8,47,,
SP100,15,5,17,5,0,47,,
SERBP1,9,8,17,6,0,47,,
UFL1,7,8,18,6,4,47,,
BPHL,12,11,18,4,0,47,,
RHBG,4,18,19,0,6,47,,
EBI3,14,5,19,3,4,47,,
CYB5D2,12,4,20,2,4,47,,
FNDC1,9,10,21,0,4,47,,
PAFAH1B2,8,6,21,4,4,47,,
UQCR10,5,14,21,1,2,47,,
GRID2,12,9,21,2,2,47,,
CELF6,6,12,21,4,2,47,,
ALG13,4,16,21,3,0,47,,
PPP1R3D,10,2,22,3,8,47,,
TNS2,6,5,22,6,3,47,,
SYT11,4,6,23,6,6,47,,
NPEPPS,13,2,24,6,3,47,,
KCNJ12,7,4,25,3,5,47,,
SLC35A3,9,2,27,3,2,47,,
CENPV,5,9,28,3,2,47,,
PDP2,6,7,0,7,23,46,,
CDC20B,15,18,1,6,4,46,,
TRAF3,16,4,2,12,9,46,,
NAA25,22,8,2,1,3,46,,
LOC102723930,9,4,3,2,27,46,,
SSR3,7,2,4,5,28,46,,
ZC3HC1,9,8,4,6,16,46,,
SLC30A5,11,9,4,5,13,46,,
TMEM126B,12,12,4,4,11,46,,
ALG11,11,6,4,14,10,46,,
UHMK1,17,5,4,7,8,46,,
EPRS,18,2,4,7,7,46,,
SLC11A1,12,9,4,9,7,46,,
HIST1H2BF,14,8,4,10,4,46,,
SGTB,9,3,4,24,1,46,,
THTPA,5,1,5,4,28,46,,
FIP1L1,9,3,5,3,23,46,,
C18orf8,11,0,5,5,19,46,,
TMEM223,20,3,5,5,11,46,,
MTF1,6,7,5,12,11,46,,
POTEG,14,1,5,13,10,46,,
COPZ1,9,12,5,9,7,46,,
TMEM237,7,4,5,22,6,46,,
GYS1,19,7,5,4,4,46,,
RTBDN,23,3,5,7,4,46,,
