Table S2. (B) Primary screen extracted image features.,,,,,,,,,,,
feature,Analogous CellProfiler feature,description,Feature transformation,Used by interphase/mitotic cell support vector classifier,Used in interphase PHATE analysis,Used in mitotic PHATE analysis,Interphase heatmap display name,Mitotic heatmap display name,,,
nucleus_phalloidin_pftas_19,,"Parameter-free threshold adjacency statistic 20, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_20,,"Parameter-free threshold adjacency statistic 21, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_21,,"Parameter-free threshold adjacency statistic 22, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_22,,"Parameter-free threshold adjacency statistic 23, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_23,,"Parameter-free threshold adjacency statistic 24, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_24,,"Parameter-free threshold adjacency statistic 25, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_25,,"Parameter-free threshold adjacency statistic 26, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_26,,"Parameter-free threshold adjacency statistic 27, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_27,,"Parameter-free threshold adjacency statistic 28, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_28,,"Parameter-free threshold adjacency statistic 29, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_29,,"Parameter-free threshold adjacency statistic 30, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_30,,"Parameter-free threshold adjacency statistic 31, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_31,,"Parameter-free threshold adjacency statistic 32, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_32,,"Parameter-free threshold adjacency statistic 33, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_33,,"Parameter-free threshold adjacency statistic 34, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_34,,"Parameter-free threshold adjacency statistic 35, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_35,,"Parameter-free threshold adjacency statistic 36, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,,,,,,
nucleus_phalloidin_pftas_36,,"Parameter-free threshold adjacency statistic 37, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_37,,"Parameter-free threshold adjacency statistic 38, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_38,,"Parameter-free threshold adjacency statistic 39, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_39,,"Parameter-free threshold adjacency statistic 40, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_40,,"Parameter-free threshold adjacency statistic 41, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_41,,"Parameter-free threshold adjacency statistic 42, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_42,,"Parameter-free threshold adjacency statistic 43, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_43,,"Parameter-free threshold adjacency statistic 44, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_44,,"Parameter-free threshold adjacency statistic 45, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_45,,"Parameter-free threshold adjacency statistic 46, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_46,,"Parameter-free threshold adjacency statistic 47, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_47,,"Parameter-free threshold adjacency statistic 48, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_48,,"Parameter-free threshold adjacency statistic 49, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_49,,"Parameter-free threshold adjacency statistic 50, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,TRUE,TRUE,,,,,
nucleus_phalloidin_pftas_50,,"Parameter-free threshold adjacency statistic 51, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_51,,"Parameter-free threshold adjacency statistic 52, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_52,,"Parameter-free threshold adjacency statistic 53, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_pftas_53,,"Parameter-free threshold adjacency statistic 54, a measure of phalloidin channel intensity texture within the segmented nucleus, as defined in the Mahotas python package (see also Coehlo, et al.)",,,,TRUE,,,,,
nucleus_phalloidin_haralick_5_0,Texture_AnguarSecondMoment_{channel}_5,"Haralick texture feature 1 (angular second moment) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
nucleus_phalloidin_haralick_5_1,Texture_Contrast_{channel}_5,"Haralick texture feature 2 (contrast) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",log(feature),,,TRUE,,,,,
nucleus_phalloidin_haralick_5_2,Texture_Correlation_{channel}_5,"Haralick texture feature 3 (correlation) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
nucleus_phalloidin_haralick_5_3,Texture_Variance_{channel}_5,"Haralick texture feature 4 (sum of squares variance) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",log(feature),,,,,,,,
nucleus_phalloidin_haralick_5_4,Texture_InverseDifferenceMoment_{channel}_5,"Haralick texture feature 5 (inverse difference moment) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",,,,,,,,,
nucleus_phalloidin_haralick_5_5,Texture_SumAverage_{channel}_5,"Haralick texture feature 6 (sum average) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
nucleus_phalloidin_haralick_5_6,Texture_SumVariance_{channel}_5,"Haralick texture feature 7 (sum variance) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",log(feature),,,TRUE,,,,,
nucleus_phalloidin_haralick_5_7,Texture_SumEntropy_{channel}_5,"Haralick texture feature 8 (sum entropy) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",,,,,,,,,
nucleus_phalloidin_haralick_5_8,Texture_Entropy_{channel}_5,"Haralick texture feature 9 (entropy) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
nucleus_phalloidin_haralick_5_9,Texture_DifferenceVariance_{channel}_5,"Haralick texture feature 10 (difference variance) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
nucleus_phalloidin_haralick_5_10,Texture_DifferenceEntropy_{channel}_5,"Haralick texture feature 11 (difference entropy) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",,,,,,,,,
nucleus_phalloidin_haralick_5_11,Texture_InfoMeas1_{channel}_5,"Haralick texture feature 12 (information measure of correlation 1) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
nucleus_phalloidin_haralick_5_12,Texture_InfoMeas2_{channel}_5,"Haralick texture feature 13 (information measure of correlation 2) of phalloidin channel intensity within the segmented nucleus, scale of 5 pixels averaged across all directions",,,,TRUE,,,,,
cell_correlation_dapi_tubulin,Correlation_Correlation,Pearson correlation coefficient between DAPI and tubulin pixel intensity values within the segmented cell.,,TRUE,TRUE,TRUE,DNA:tubulin correlation,,,,
cell_correlation_dapi_gh2ax,Correlation_Correlation,Pearson correlation coefficient between DAPI and gamma-H2AX pixel intensity values within the segmented cell.,,,TRUE,TRUE,,,,,
cell_correlation_dapi_phalloidin,Correlation_Correlation,Pearson correlation coefficient between DAPI and phalloidin pixel intensity values within the segmented cell.,,,TRUE,TRUE,,,,,
cell_correlation_tubulin_gh2ax,Correlation_Correlation,Pearson correlation coefficient between tubulin and gamma-H2AX pixel intensity values within the segmented cell.,,TRUE,TRUE,TRUE,,,,,
cell_correlation_tubulin_phalloidin,Correlation_Correlation,Pearson correlation coefficient between tubulin and phalloidin pixel intensity values within the segmented cell.,,TRUE,TRUE,TRUE,tubulin:actin correlation,,,,
cell_correlation_gh2ax_phalloidin,Correlation_Correlation,Pearson correlation coefficient between gamma-H2AX and phalloidin pixel intensity values within the segmented cell.,,,,,,,,,
nucleus_correlation_dapi_tubulin,Correlation_Correlation,Pearson correlation coefficient between DAPI and tubulin pixel intensity values within the segmented nucleus.,,TRUE,TRUE,TRUE,,,,,
nucleus_correlation_dapi_gh2ax,Correlation_Correlation,Pearson correlation coefficient between DAPI and gamma-H2AX pixel intensity values within the segmented nucleus.,,,TRUE,TRUE,DNA:$\gamma$H2AX correlation,,,,
nucleus_correlation_dapi_phalloidin,Correlation_Correlation,Pearson correlation coefficient between DAPI and phalloidin pixel intensity values within the segmented nucleus.,,TRUE,,TRUE,,,,,
nucleus_correlation_tubulin_gh2ax,Correlation_Correlation,Pearson correlation coefficient between tubulin and gamma-H2AX pixel intensity values within the segmented nucleus.,,TRUE,,TRUE,,,,,
nucleus_correlation_tubulin_phalloidin,Correlation_Correlation,Pearson correlation coefficient between tubulin and phalloidin pixel intensity values within the segmented nucleus.,,TRUE,,TRUE,,,,,
nucleus_correlation_gh2ax_phalloidin,Correlation_Correlation,Pearson correlation coefficient between gamma-H2AX and phalloidin pixel intensity values within the segmented nucleus.,,TRUE,,TRUE,,,,,
cell_lstsq_slope_dapi_tubulin,Correlation_Slope,The slope of the least-squares regression between DAPI and tubulin pixel intensity values within the segmented cell,,TRUE,TRUE,TRUE,,,,,
cell_lstsq_slope_dapi_gh2ax,Correlation_Slope,The slope of the least-squares regression between DAPI and gamma-H2AX pixel intensity values within the segmented cell,,,,,,,,,
cell_lstsq_slope_dapi_phalloidin,Correlation_Slope,The slope of the least-squares regression between DAPI and phalloidin pixel intensity values within the segmented cell,,,,,,,,,
cell_lstsq_slope_tubulin_gh2ax,Correlation_Slope,The slope of the least-squares regression between tubulin and gamma-H2AX pixel intensity values within the segmented cell,,TRUE,TRUE,TRUE,,,,,
cell_lstsq_slope_tubulin_phalloidin,Correlation_Slope,The slope of the least-squares regression between tubulin and phalloidin pixel intensity values within the segmented cell,,TRUE,TRUE,,,,,,
cell_lstsq_slope_gh2ax_phalloidin,Correlation_Slope,The slope of the least-squares regression between gamma-H2AX and phalloidin pixel intensity values within the segmented cell,,,,TRUE,,,,,
nucleus_lstsq_slope_dapi_tubulin,Correlation_Slope,The slope of the least-squares regression between DAPI and tubulin pixel intensity values within the segmented nucleus,,,TRUE,TRUE,,,,,
nucleus_lstsq_slope_dapi_gh2ax,Correlation_Slope,The slope of the least-squares regression between DAPI and gamma-H2AX pixel intensity values within the segmented nucleus,,,TRUE,TRUE,,,,,
nucleus_lstsq_slope_dapi_phalloidin,Correlation_Slope,The slope of the least-squares regression between DAPI and phalloidin pixel intensity values within the segmented nucleus,,,TRUE,TRUE,,,,,
nucleus_lstsq_slope_tubulin_gh2ax,Correlation_Slope,The slope of the least-squares regression between tubulin and gamma-H2AX pixel intensity values within the segmented nucleus,,TRUE,TRUE,TRUE,,,,,
nucleus_lstsq_slope_tubulin_phalloidin,Correlation_Slope,The slope of the least-squares regression between tubulin and phalloidin pixel intensity values within the segmented nucleus,,TRUE,TRUE,TRUE,,,,,
nucleus_lstsq_slope_gh2ax_phalloidin,Correlation_Slope,The slope of the least-squares regression between gamma-H2AX and phalloidin pixel intensity values within the segmented nucleus,,,TRUE,TRUE,,,,,
cell_overlap_dapi_tubulin,Correlation_Overlap,The overlap coefficient between DAPI and tubulin pixel intensity values within the segmented cell,,,TRUE,TRUE,,,,,
cell_overlap_dapi_gh2ax,Correlation_Overlap,The overlap coefficient between DAPI and gamma-H2AX pixel intensity values within the segmented cell,,,TRUE,TRUE,,,,,
cell_overlap_dapi_phalloidin,Correlation_Overlap,The overlap coefficient between DAPI and phalloidin pixel intensity values within the segmented cell,,TRUE,TRUE,TRUE,,,,,
cell_overlap_tubulin_gh2ax,Correlation_Overlap,The overlap coefficient between tubulin and gamma-H2AX pixel intensity values within the segmented cell,log(1-feature),,,TRUE,,,,,
cell_overlap_tubulin_phalloidin,Correlation_Overlap,The overlap coefficient between tubulin and phalloidin pixel intensity values within the segmented cell,log(1-feature),,,TRUE,,,,,
cell_overlap_gh2ax_phalloidin,Correlation_Overlap,The overlap coefficient between gamma-H2AX and phalloidin pixel intensity values within the segmented cell,log(1-feature),TRUE,,TRUE,,,,,
nucleus_overlap_dapi_tubulin,Correlation_Overlap,The overlap coefficient between DAPI and tubulin pixel intensity values within the segmented nucleus,log(1-feature),TRUE,TRUE,TRUE,,,,,
nucleus_overlap_dapi_gh2ax,Correlation_Overlap,The overlap coefficient between DAPI and gamma-H2AX pixel intensity values within the segmented nucleus,log(1-feature),TRUE,TRUE,TRUE,,,,,
nucleus_overlap_dapi_phalloidin,Correlation_Overlap,The overlap coefficient between DAPI and phalloidin pixel intensity values within the segmented nucleus,log(1-feature),TRUE,TRUE,TRUE,,,,,
nucleus_overlap_tubulin_gh2ax,Correlation_Overlap,The overlap coefficient between tubulin and gamma-H2AX pixel intensity values within the segmented nucleus,log(1-feature),,TRUE,TRUE,,,,,
nucleus_overlap_tubulin_phalloidin,Correlation_Overlap,The overlap coefficient between tubulin and phalloidin pixel intensity values within the segmented nucleus,log(1-feature),TRUE,TRUE,TRUE,,,,,
nucleus_overlap_gh2ax_phalloidin,Correlation_Overlap,The overlap coefficient between gamma-H2AX and phalloidin pixel intensity values within the segmented nucleus,log(1-feature),TRUE,TRUE,TRUE,,,,,
cell_K_dapi_tubulin,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of DAPI on tubulin pixel intensity values within the segmented cell,,,,TRUE,,,,,
cell_K_dapi_gh2ax,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of DAPI on gamma-H2AX pixel intensity values within the segmented cell,,,,TRUE,,,,,
cell_K_dapi_phalloidin,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of DAPI on phalloidin pixel intensity values within the segmented cell,,TRUE,TRUE,TRUE,,,,,
cell_K_tubulin_gh2ax,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of tubulin on gamma-H2AX pixel intensity values within the segmented cell,,,,TRUE,,,,,
cell_K_tubulin_phalloidin,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of tubulin on phalloidin pixel intensity values within the segmented cell,,TRUE,TRUE,TRUE,,,,,
cell_K_gh2ax_phalloidin,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of gamma-H2AX on phalloidin pixel intensity values within the segmented cell,,,,TRUE,,,,,
nucleus_K_dapi_tubulin,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of DAPI on tubulin pixel intensity values within the segmented nucleus,,,,,,,,,
nucleus_K_dapi_gh2ax,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of DAPI on gamma-H2AX pixel intensity values within the segmented nucleus,,,,,,,,,
nucleus_K_dapi_phalloidin,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of DAPI on phalloidin pixel intensity values within the segmented nucleus,,,,,,,,,
nucleus_K_tubulin_gh2ax,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of tubulin on gamma-H2AX pixel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_K_tubulin_phalloidin,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of tubulin on phalloidin pixel intensity values within the segmented nucleus,,,,TRUE,,,,,
nucleus_K_gh2ax_phalloidin,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of gamma-H2AX on phalloidin pixel intensity values within the segmented nucleus,,,,,,,,,
cell_manders_dapi_tubulin,Correlation_Manders,"The Manders coefficient of DAPI intensity colocalized to tubulin intensity within the segmented cell, computed in part by using an Otsu threshold on tubulin intensity",,,TRUE,TRUE,,,,,
cell_manders_dapi_gh2ax,Correlation_Manders,"The Manders coefficient of DAPI intensity colocalized to gamma-H2AX intensity within the segmented cell, computed in part by using an Otsu threshold on gamma-H2AX intensity",,,TRUE,TRUE,,,,,
cell_manders_dapi_phalloidin,Correlation_Manders,"The Manders coefficient of DAPI intensity colocalized to phalloidin intensity within the segmented cell, computed in part by using an Otsu threshold on phalloidin intensity",,,TRUE,TRUE,,,,,
cell_manders_tubulin_gh2ax,Correlation_Manders,"The Manders coefficient of tubulin intensity colocalized to gamma-H2AX intensity within the segmented cell, computed in part by using an Otsu threshold on gamma-H2AX intensity",,,TRUE,TRUE,,,,,
cell_manders_tubulin_phalloidin,Correlation_Manders,"The Manders coefficient of tubulin intensity colocalized to phalloidin intensity within the segmented cell, computed in part by using an Otsu threshold on phalloidin intensity",,,TRUE,TRUE,,,,,
cell_manders_gh2ax_phalloidin,Correlation_Manders,"The Manders coefficient of gamma-H2AX intensity colocalized to phalloidin intensity within the segmented cell, computed in part by using an Otsu threshold on phalloidin intensity",,,,TRUE,,,,,
nucleus_manders_dapi_tubulin,Correlation_Manders,"The Manders coefficient of DAPI intensity colocalized to tubulin intensity within the segmented nucleus, computed in part by using an Otsu threshold on tubulin intensity",,,,TRUE,,,,,
nucleus_manders_dapi_gh2ax,Correlation_Manders,"The Manders coefficient of DAPI intensity colocalized to gamma-H2AX intensity within the segmented nucleus, computed in part by using an Otsu threshold on gamma-H2AX intensity",,,TRUE,TRUE,,,,,
nucleus_manders_dapi_phalloidin,Correlation_Manders,"The Manders coefficient of DAPI intensity colocalized to phalloidin intensity within the segmented nucleus, computed in part by using an Otsu threshold on phalloidin intensity",,,TRUE,TRUE,,,,,
nucleus_manders_tubulin_gh2ax,Correlation_Manders,"The Manders coefficient of tubulin intensity colocalized to gamma-H2AX intensity within the segmented nucleus, computed in part by using an Otsu threshold on gamma-H2AX intensity",,,,TRUE,,,,,
nucleus_manders_tubulin_phalloidin,Correlation_Manders,"The Manders coefficient of tubulin intensity colocalized to phalloidin intensity within the segmented nucleus, computed in part by using an Otsu threshold on phalloidin intensity",,,TRUE,TRUE,,,,,
nucleus_manders_gh2ax_phalloidin,Correlation_Manders,"The Manders coefficient of gamma-H2AX intensity colocalized to phalloidin intensity within the segmented nucleus, computed in part by using an Otsu threshold on phalloidin intensity",,,,TRUE,,,,,
cell_rwc_dapi_tubulin,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of DAPI intensity colocalized to tubulin intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on tubulin intensity is used as part of this calculation.",,,,,,,,,
cell_rwc_dapi_gh2ax,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of DAPI intensity colocalized to gamma-H2AX intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on gamma-H2AX intensity is used as part of this calculation.",,TRUE,,TRUE,,,,,
cell_rwc_dapi_phalloidin,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of DAPI intensity colocalized to phalloidin intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on phalloidin intensity is used as part of this calculation.",,,TRUE,TRUE,,,,,
cell_rwc_tubulin_gh2ax,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of tubulin intensity colocalized to gamma-H2AX intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on gamma-H2AX intensity is used as part of this calculation.",,,,TRUE,,,,,
cell_rwc_tubulin_phalloidin,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of tubulin intensity colocalized to phalloidin intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on phalloidin intensity is used as part of this calculation.",,,,TRUE,,,,,
cell_rwc_gh2ax_phalloidin,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of gamma-H2AX intensity colocalized to phalloidin intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on phalloidin intensity is used as part of this calculation.",,,TRUE,TRUE,,,,,
nucleus_rwc_dapi_tubulin,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of DAPI intensity colocalized to tubulin intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on tubulin intensity is used as part of this calculation.",,,,,,,,,
nucleus_rwc_dapi_gh2ax,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of DAPI intensity colocalized to gamma-H2AX intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on gamma-H2AX intensity is used as part of this calculation.",,TRUE,TRUE,TRUE,,,,,
nucleus_rwc_dapi_phalloidin,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of DAPI intensity colocalized to phalloidin intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on phalloidin intensity is used as part of this calculation.",,,TRUE,TRUE,,,,,
nucleus_rwc_tubulin_gh2ax,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of tubulin intensity colocalized to gamma-H2AX intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on gamma-H2AX intensity is used as part of this calculation.",,TRUE,TRUE,TRUE,,,,,
nucleus_rwc_tubulin_phalloidin,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of tubulin intensity colocalized to phalloidin intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on phalloidin intensity is used as part of this calculation.",,,TRUE,TRUE,,,,,
nucleus_rwc_gh2ax_phalloidin,Correlation_RWC,"The rank-weighted colocalization coefficient, which is the Manders coefficient of gamma-H2AX intensity colocalized to phalloidin intensity, weighted by the difference in intensity ranks between the two channels. An Otsu threshold on phalloidin intensity is used as part of this calculation.",,,TRUE,TRUE,,,,,
cell_lstsq_slope_tubulin_dapi,Correlation_Slope,The slope of the least-squares regression between tubulin and DAPI pixel intensity values within the segmented cell,,,TRUE,TRUE,,,,,
cell_lstsq_slope_gh2ax_dapi,Correlation_Slope,The slope of the least-squares regression between gamma-H2AX and DAPI pixel intensity values within the segmented cell,,,,TRUE,,,,,
cell_lstsq_slope_phalloidin_dapi,Correlation_Slope,The slope of the least-squares regression between phalloidin and DAPI pixel intensity values within the segmented cell,,,,,,,,,
cell_lstsq_slope_gh2ax_tubulin,Correlation_Slope,The slope of the least-squares regression between gamma-H2AX and tubulin pixel intensity values within the segmented cell,,TRUE,TRUE,TRUE,,,,,
cell_lstsq_slope_phalloidin_tubulin,Correlation_Slope,The slope of the least-squares regression between phalloidin and tubulin pixel intensity values within the segmented cell,,,TRUE,TRUE,,,,,
cell_lstsq_slope_phalloidin_gh2ax,Correlation_Slope,The slope of the least-squares regression between phalloidin and gamma-H2AX pixel intensity values within the segmented cell,,,,TRUE,,,,,
nucleus_lstsq_slope_tubulin_dapi,Correlation_Slope,The slope of the least-squares regression between tubulin and DAPI pixel intensity values within the segmented nucleus,,TRUE,TRUE,TRUE,,,,,
nucleus_lstsq_slope_gh2ax_dapi,Correlation_Slope,The slope of the least-squares regression between gamma-H2AX and DAPI pixel intensity values within the segmented nucleus,,,TRUE,TRUE,,,,,
nucleus_lstsq_slope_phalloidin_dapi,Correlation_Slope,The slope of the least-squares regression between phalloidin and DAPI pixel intensity values within the segmented nucleus,,TRUE,TRUE,TRUE,,,,,
nucleus_lstsq_slope_gh2ax_tubulin,Correlation_Slope,The slope of the least-squares regression between gamma-H2AX and tubulin pixel intensity values within the segmented nucleus,,TRUE,TRUE,TRUE,,,,,
nucleus_lstsq_slope_phalloidin_tubulin,Correlation_Slope,The slope of the least-squares regression between phalloidin and tubulin pixel intensity values within the segmented nucleus,,TRUE,TRUE,TRUE,,,,,
nucleus_lstsq_slope_phalloidin_gh2ax,Correlation_Slope,The slope of the least-squares regression between phalloidin and gamma-H2AX pixel intensity values within the segmented nucleus,,TRUE,TRUE,TRUE,,,,,
cell_K_tubulin_dapi,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of tubulin on DAPI pixel intensity values within the segmented cell,,TRUE,,TRUE,,,,,
cell_K_gh2ax_dapi,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of gamma-H2AX on DAPI pixel intensity values within the segmented cell,,,TRUE,,,,,,
cell_K_phalloidin_dapi,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of phalloidin on DAPI pixel intensity values within the segmented cell,,TRUE,,TRUE,,,,,
cell_K_gh2ax_tubulin,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of gamma-H2AX on tubulin pixel intensity values within the segmented cell,,,,,,,,,
cell_K_phalloidin_tubulin,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of phalloidin on tubulin pixel intensity values within the segmented cell,,TRUE,,TRUE,,,,,
cell_K_phalloidin_gh2ax,Correlation_K,The one-sided overlap coefficient K measuring  the overlap of phalloidin on gamma-H2AX pixel intensity values within the segmented cell,,TRUE,TRUE,TRUE,,,,,
